,raw,raw,raw,raw,raw,raw,dt,dt,dt,dt,dt,dt,env,env,env,env,env,env
,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ
Time,,,,,,,,,,,,,,,,,,
2022-09-10 19:19:09.719500+00:00,-26656.0,25294.0,-1125.0,-3071.0,723.0,2619.0,-7.0,-49.0,113.0,-195.0,-132.0,-63.0,10.692676621563637,84.85870609430712,140.97635735588196,240.90108620206203,152.4204710660612,95.79839942991393
2022-09-10 19:19:09.744500+00:00,-26678.0,25174.0,-1200.0,-3115.0,797.0,2620.0,-22.0,-120.0,-75.0,-44.0,74.0,1.0,73.24160930327332,123.83995047371964,86.89265408153517,96.62470353555209,78.42831121476478,55.434646206140805
2022-09-10 19:19:09.769500+00:00,-26734.0,25224.0,-1222.0,-3019.0,686.0,2620.0,-56.0,50.0,-22.0,96.0,-111.0,0.0,63.00264544710272,53.71529887595649,34.48671241700684,108.88679136301764,124.06852945046137,31.754264805429415
2022-09-10 19:19:09.794500+00:00,-26749.0,25021.0,-1303.0,-2942.0,719.0,2518.0,-15.0,-203.0,-81.0,77.0,33.0,-102.0,60.21074101298982,206.54539452623968,180.81574415225387,101.29659421717987,108.48655830716231,105.69768209379049
2022-09-10 19:19:09.819500+00:00,-26650.0,25206.0,-1486.0,-3076.0,774.0,2564.0,99.0,185.0,-183.0,-134.0,55.0,46.0,127.44148984272483,246.44066222926767,259.63307442106316,191.93054299233705,117.57976016304843,52.548390397169456
2022-09-10 19:19:09.844500+00:00,-26688.0,25117.0,-1443.0,-3363.0,579.0,2482.0,-38.0,-89.0,43.0,-287.0,-195.0,-82.0,38.214307966170644,100.53854982045443,122.13517101965346,318.1985753163162,228.10816147900832,122.23065627465694
2022-09-10 19:19:09.869500+00:00,-27018.0,24872.0,-1622.0,-3328.0,686.0,2445.0,-330.0,-245.0,-179.0,35.0,107.0,-37.0,351.1713731689036,260.0487133852682,241.19355989191195,168.79079753746447,114.79111463872104,255.00065359393363
2022-09-10 19:19:09.894500+00:00,-27313.0,25050.0,-1498.0,-3227.0,593.0,2604.0,-295.0,178.0,124.0,101.0,-93.0,159.0,295.20388434662124,300.3403624778616,131.728255637632,160.92648425083217,98.84499650125608,197.18603736911322
2022-09-10 19:19:09.919500+00:00,-27406.0,24751.0,-1268.0,-3420.0,448.0,2414.0,-93.0,-299.0,230.0,-193.0,-145.0,-190.0,112.29128787814902,352.3880436866911,238.0028011039646,290.0413763586154,145.01034445859372,192.35730642045635
2022-09-10 19:19:09.944500+00:00,-27477.0,24557.0,-1767.0,-3346.0,429.0,2435.0,-71.0,-194.0,-499.0,74.0,-19.0,21.0,143.00116549641592,314.1613173726729,522.4388321452888,286.8379333351849,36.01851375797364,36.63786747797058
2022-09-10 19:19:09.969500+00:00,-27502.0,24551.0,-1638.0,-3339.0,380.0,2540.0,-25.0,-6.0,129.0,7.0,-49.0,105.0,68.78953408767934,89.1141589947037,129.21816177818553,103.00647228855733,74.84873635094537,105.9103394386025
2022-09-10 19:19:09.994500+00:00,-27441.0,24573.0,-1455.0,-3441.0,446.0,2362.0,61.0,22.0,183.0,-102.0,66.0,-178.0,130.5922407087547,73.79250187744911,196.5053010311257,122.33969102462211,79.25486315257466,178.02340670072948
2022-09-10 19:19:10.019500+00:00,-27288.0,24540.0,-1816.0,-3355.0,324.0,2389.0,153.0,-33.0,-361.0,86.0,-122.0,27.0,156.87255974197654,298.5872290191483,367.4797046550099,162.59253775414584,126.66622806941609,161.050716649549
2022-09-10 19:19:10.044500+00:00,-27164.0,24383.0,-1951.0,-3437.0,387.0,2238.0,124.0,-157.0,-135.0,-82.0,63.0,-151.0,124.04837765968566,216.81635854642823,141.77446878757823,140.6840431605518,74.53858061433688,155.05267922010677
2022-09-10 19:19:10.069500+00:00,-27284.0,24520.0,-2280.0,-3357.0,339.0,2183.0,-120.0,137.0,-329.0,80.0,-48.0,-55.0,163.3646228532971,182.563231055252,330.64180014027266,180.88762625821957,91.53687781435414,68.94200461257275
2022-09-10 19:19:10.094500+00:00,-27417.0,24348.0,-2208.0,-3389.0,349.0,2252.0,-133.0,-172.0,72.0,-32.0,10.0,69.0,192.48203379363315,208.78777103396965,108.2466319722389,48.01388688008224,59.16361494477271,107.59801732993657
2022-09-10 19:19:10.119500+00:00,-27455.0,24545.0,-2165.0,-3594.0,487.0,2096.0,-38.0,197.0,43.0,-205.0,138.0,-156.0,207.31698756574033,202.47468977627796,236.04448733236705,212.21058723196006,140.86991635311398,186.17554440187178
2022-09-10 19:19:10.144500+00:00,-27586.0,24566.0,-2517.0,-3559.0,257.0,2118.0,-131.0,21.0,-352.0,35.0,-230.0,22.0,131.001272258453,129.3109946343826,352.09279080000107,78.65324744302255,230.12243118247585,61.24540799113023
2022-09-10 19:19:10.169500+00:00,-27828.0,24228.0,-2380.0,-3553.0,388.0,2156.0,-242.0,-338.0,137.0,6.0,131.0,38.0,325.09895929291025,402.6466606509153,241.27646659658566,6.928203230275537,132.29638443031362,218.67860739755346
2022-09-10 19:19:10.194500+00:00,-27986.0,24365.0,-2355.0,-3690.0,161.0,2021.0,-158.0,137.0,25.0,-137.0,-227.0,-135.0,222.76744226509703,173.00867030296487,160.1572144279905,199.84243793548956,227.00293683856458,140.75510647930327
2022-09-10 19:19:10.219500+00:00,-27972.0,23874.0,-2754.0,-3585.0,61.0,1962.0,14.0,-491.0,-399.0,105.0,-100.0,-59.0,249.8079262153225,545.8363613147565,526.8836051096422,202.05279838035733,137.71468089253713,88.39117603018978
2022-09-10 19:19:10.244500+00:00,-27792.0,24107.0,-2762.0,-3475.0,376.0,2061.0,180.0,233.0,-8.0,110.0,315.0,99.0,195.92175308865868,257.04150118868614,71.46327728281149,216.5094301256491,315.0640146594551,125.99999999999997
2022-09-10 19:19:10.269500+00:00,-27581.0,24388.0,-2616.0,-3661.0,88.0,1851.0,211.0,281.0,146.0,-186.0,-288.0,-210.0,353.38553073567306,283.4948559204088,306.6143071243306,312.0598233245243,288.3331406550415,356.5113368931391
2022-09-10 19:19:10.294500+00:00,-27634.0,23933.0,-3294.0,-3738.0,267.0,1654.0,-53.0,-455.0,-678.0,-77.0,179.0,-197.0,158.1043958908164,580.7179464536405,712.2583800840814,500.7447786381135,191.9400948212748,238.22328461620484
2022-09-10 19:19:10.319500+00:00,-27912.0,24445.0,-3570.0,-3773.0,490.0,1836.0,-278.0,512.0,-276.0,-35.0,223.0,182.0,337.0222544580699,512.0013020816776,419.4190426451013,290.21601150407486,255.7837628414543,341.7469824299843
2022-09-10 19:19:10.344500+00:00,-28195.0,24722.0,-3111.0,-3682.0,505.0,1692.0,-283.0,277.0,459.0,91.0,15.0,-144.0,373.0540622126146,510.14736433047784,471.3947390457385,272.01654361453825,136.50396819628844,224.35983003499825
2022-09-10 19:19:10.369500+00:00,-28156.0,24736.0,-3402.0,-3531.0,583.0,1651.0,39.0,14.0,-291.0,151.0,78.0,-41.0,50.29247790011278,191.03926298015284,301.55817570301974,261.12832094585224,135.54335099885938,46.776062254106
2022-09-10 19:19:10.394500+00:00,-27861.0,24625.0,-3503.0,-3621.0,391.0,1731.0,295.0,-111.0,-101.0,-90.0,-192.0,80.0,314.93703074318415,254.15152960389594,101.72511980823616,104.21292306299313,215.63240325455106,292.32915238363296
2022-09-10 19:19:10.419500+00:00,-27795.0,24369.0,-3447.0,-3587.0,478.0,1565.0,66.0,-256.0,56.0,34.0,87.0,-166.0,84.00000000000001,256.0650958903484,176.5483880791137,38.42308333974947,144.5763927248613,166.4421821534433
2022-09-10 19:19:10.444500+00:00,-27733.0,24665.0,-3646.0,-3503.0,559.0,1687.0,62.0,296.0,-199.0,84.0,81.0,122.0,118.05083650698964,332.1490629220561,233.62862267567587,182.17939876213592,83.91861136442456,122.49217662093092
2022-09-10 19:19:10.469500+00:00,-27613.0,24707.0,-3462.0,-3530.0,516.0,1608.0,120.0,42.0,184.0,-27.0,-43.0,-79.0,138.8536399714942,55.94044452212846,188.26311375306634,133.8108117206279,52.443620520834884,122.87120628256781
2022-09-10 19:19:10.494500+00:00,-27648.0,24613.0,-3640.0,-3412.0,571.0,1587.0,-35.0,-94.0,-178.0,118.0,55.0,-21.0,54.784426010804694,125.10928555999882,216.0216038578858,178.94226256905696,97.2899446671306,56.04462507680822
2022-09-10 19:19:10.519500+00:00,-27571.0,24740.0,-3542.0,-3375.0,624.0,1755.0,77.0,127.0,98.0,37.0,53.0,168.0,80.55639846302299,127.57742747053649,110.92339699089638,45.210618221829264,92.35438989746687,168.5704600456438
2022-09-10 19:19:10.544500+00:00,-27468.0,24894.0,-3309.0,-3508.0,745.0,1589.0,103.0,154.0,233.0,-133.0,121.0,-166.0,211.52383632426233,171.31647128438448,285.91140819025276,147.8862175232477,122.49081598226049,166.3249830903343
